,China,Beijing,Shanghai,Guangzhou,Shenzhen,Hangzhou,Chengdu,Suzhou,Nanjing,Wuhan,Chongqing,Xian,tier1_rate
0-4,83932437.00,1016000,857500,1061715,159057,486422,752666,430498,326098,811511,1571976,558910,0
5月9日,86735183.00,933000,914000,947684,565210,441686,677741,398027,286197,775586,1456589,523011,0
10月14日,84262751.00,642000,664800,1168081,533743,462074,860248,354478,284317,568608,1768470,614417,0
15-19,82341859.00,634000,710200,1686255,491796,779860,1446588,961638,674657,470243,2327734,1097156,0.01
20-24,87158167.00,1350000,1514200,2139125,1314361,1404626,2349197,1904079,1303017,608327,2403349,1773489,0.07
25-29,97989003.00,1905000,2205800,1940262,3361132,1106426,1642181,1351393,877034,1115127,1841058,1126643,0.07
30-34,128738970.00,2503000,2741300,1640357,3096609,1016618,1510675,1144150,769755,1544644,1739333,963694,0.05
35-39,100091455.00,2143000,2295800,1733157,2291757,1083038,2311152,1114967,773871,1253476,3210736,1105447,0.07
40-44,96274146.00,1602000,1857500,1637893,2025172,1138669,2216555,1203187,872698,992535,3230612,1107348,0.07
45-49,119837617.00,1619000,1776300,1293549,1560498,1078348,1674945,954286,798081,964103,2562858,1005509,0.05
50-54,123445382.00,1620000,1785700,905770,964088,817006,1079370,656405,570571,1101780,1834172,866689,0.03
55-59,98740491.00,1627000,1732400,799039,452479,753906,1397400,735612,591238,1122626,2457023,769775,0.02
60-64,77514139.00,1387000,1766500,563160,343664,535065,985540,546960,430455,889195,1882885,537354,0.01
65-69,74149766.00,1195000,1647600,398972,205526,323589,738147,363420,283528,209543,1417238,395641,0
70-74,44949689.00,668000,1014000,340451,123231,284521,549215,276837,232711,489313,1009254,332669,0
75-79,26544616.00,415000,551600,267847,93218,259168,376360,222024,182789,325758,703968,227784,0
80+,26618103.00,634000,835900,287283,54956,232980,369821,229839,166384,406526,707045,157466,0
